Titre,Price,Localisation,Size,Nb_pieces,Nb_chambre,Nb_Salles_bain,Etat,Old,Etage,Caracteristiques_supplementaires,URL
Appartement à louer Tanger,7 500 DH,"Centre à
							
							Tanger","107
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6750714/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,6 500 DH,Tanger,"107
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6744514/appartement-%C3%A0-louer-tanger
Appartement de luxe avec une vue sur mer,14 500 DH,"Malabata à
							
							Tanger","80
					m²",1 Pièce ,1 Chambre,1 Salle de bain,Bon état,,,|Meublé|Garage|Vue sur mer,https://www.mubawab.ma/fr/a/6747686/appartement-de-luxe-avec-une-vue-sur-mer
Spacieux appartement meuble a louer,7 000 DH,Tanger,,,,,,,,|Cuisine équipée,https://www.mubawab.ma/fr/a/6747194/spacieux-appartement-meuble-a-louer
Appartement à louer Tanger,10 000 DH,"Centre à
							
							Tanger","100
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Piscine,https://www.mubawab.ma/fr/a/6746978/appartement-%C3%A0-louer-tanger
Chic appartement meuble a louer,12 500 DH,"Centre à
							
							Tanger",,,,,,,,|Terrasse|Garage|Salon Marocain|Double vitrage|Four,https://www.mubawab.ma/fr/a/6744690/chic-appartement-meuble-a-louer
Appartement meublé à la location,7 000 DH,"Malabata à
							
							Tanger","110
					m²",4 Pièces,2 Chambres,,,,,|Meublé|Garage|Jardin,https://www.mubawab.ma/fr/a/6322677/appartement-meubl%C3%A9-%C3%A0-la-location
Appartement vide à la location longue durée,13 000 DH,"Malabata à
							
							Tanger","150
					m²",4 Pièces,2 Chambres,,,,,|Terrasse|Garage|Jardin,https://www.mubawab.ma/fr/a/6290776/appartement-vide-%C3%A0-la-location-longue-dur%C3%A9e
Appartement en location meuble avec terrasse / ref / ltaam72319,6 000 DH,"Centre à
							
							Tanger","82
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Salon européen|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6744101/appartement-en-location-meuble-avec-terrasse-ref-ltaam72319
A louer appartement meuble,12 400 DH,Tanger,,,,,,,,|Meublé|Garage|Ascenseur|Concierge|Salon européen|Climatisation|Cuisine équipée,https://www.mubawab.ma/fr/a/6742999/a-louer-appartement-meuble
A louer a tanger appartement quartier résidentiel,13 000 DH,"Du Golf à
							
							Tanger","126
					m²",5 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Piscine|Jardin|Salon européen|Climatisation|Double vitrage|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6742252/a-louer-a-tanger-appartement-quartier-r%C3%A9sidentiel
Appartement vide à louer Tanger,6 000 DH,"Centre à
							
							Tanger","106
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Terrasse|Garage,https://www.mubawab.ma/fr/a/6738921/appartement-vide-%C3%A0-louer-tanger
A louer appartement a tanger avec terrasse situation berchet,12 000 DH,Tanger,"140
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6740529/a-louer-appartement-a-tanger-avec-terrasse-situation-berchet
A louer appartement a tanger situation plage,4 800 DH,"De La Plage à
							
							Tanger","95
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,,,|Garage|Ascenseur|Concierge|Cuisine équipée,https://www.mubawab.ma/fr/a/6740528/a-louer-appartement-a-tanger-situation-plage
Appartement vide à la location Nejma,8 500 DH,"Centre à
							
							Tanger","180
					m²",6 Pièces,3 Chambres,,,,,|Garage,https://www.mubawab.ma/fr/a/6697423/appartement-vide-%C3%A0-la-location-nejma
Appartement meublé à la location,7 000 DH,"Centre à
							
							Tanger","120
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Terrasse|Garage,https://www.mubawab.ma/fr/a/6323082/appartement-meubl%C3%A9-%C3%A0-la-location
Appartement vide à la location à IBERIA,8 300 DH,"Iberie à
							
							Tanger","135
					m²",5 Pièces,3 Chambres,1 Salle de bain,Nouveau,,,|Terrasse|Garage,https://www.mubawab.ma/fr/a/6343667/appartement-vide-%C3%A0-la-location-%C3%A0-iberia
Appartement meublé à Nejma,10 000 DH,"Centre à
							
							Tanger","90
					m²",4 Pièces,2 Chambres,,,,,|Meublé|Terrasse|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/6662733/appartement-meubl%C3%A9-%C3%A0-nejma
Studion meublé à la location,4 500 DH,"Centre à
							
							Tanger","45
					m²",3 Pièces,1 Chambre,1 Salle de bain,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6379663/studion-meubl%C3%A9-%C3%A0-la-location
Appartement meublé à la location longue durée,8 000 DH,"Centre à
							
							Tanger","120
					m²",5 Pièces,2 Chambres,,,,,|Meublé|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/6291601/appartement-meubl%C3%A9-%C3%A0-la-location-longue-dur%C3%A9e
A louer a tanger magnifique appartement vue mer surface 216 m²/ ref: ltaam71219,16 600 DH,Tanger,"145
					m²",7 Pièces,5 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Vue sur mer|Salon Marocain|Salon européen|Climatisation|Cheminée|Cuisine équipée,https://www.mubawab.ma/fr/a/6739415/a-louer-a-tanger-magnifique-appartement-vue-mer-surface-216-m%C2%B2-ref-ltaam71219
Appartement à louer Tanger,11 000 DH,"Centre à
							
							Tanger","120
					m²",4 Pièces,2 Chambres,,,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6735453/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,8 000 DH,Tanger,"145
					m²",4 Pièces,3 Chambres,1 Salle de bain,"6ème
					étage",,,|Terrasse|Garage|Jardin,https://www.mubawab.ma/fr/a/6735452/appartement-%C3%A0-louer-tanger
Appartement a louer,4 500 DH,"Centre à
							
							Tanger",,,,,,,,|Meublé|Ascenseur|Concierge|Cuisine équipée,https://www.mubawab.ma/fr/a/6730602/appartement-a-louer
Appartement en location premiere ligne plage,5 500 DH,"Médina à
							
							Tanger","89
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Piscine|Jardin|Vue sur mer|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6724225/appartement-en-location-premiere-ligne-plage
A louer appartement avec terrasse quartier berchet,7 500 DH,"Administratif à
							
							Tanger","180
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Terrasse|Garage|Ascenseur|Concierge|Salon européen|Cheminée,https://www.mubawab.ma/fr/a/6724224/a-louer-appartement-avec-terrasse-quartier-berchet
Appartement à louer Tanger,7 000 DH,Tanger,"84
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6644229/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,9 500 DH,Tanger,"85
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,,,|Meublé|Terrasse|Garage,https://www.mubawab.ma/fr/a/6644231/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,8 000 DH,Tanger,"126
					m²",3 Pièces,2 Chambres,1 Salle de bain,"126
					m²",,,|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/6644275/appartement-%C3%A0-louer-tanger
Location appartement meuble,5 500 DH,"Marjane à
							
							Tanger",,,,,,,,|Meublé|Terrasse|Jardin|Salon européen|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6723424/location-appartement-meuble
Appartement à louer Tanger,6 500 DH,"Marchan à
							
							Tanger","65
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6722592/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,5 500 DH,"Malabata à
							
							Tanger","94
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6720313/appartement-%C3%A0-louer-tanger
Appartement neuf vide en location quartier administratif surface 132 m² / ref: ltaa40519:,9 000 DH,"Administratif à
							
							Tanger","132
					m²",5 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Terrasse|Garage|Ascenseur|Cuisine équipée,https://www.mubawab.ma/fr/a/6315790/appartement-neuf-vide-en-location-quartier-administratif-surface-132-m%C2%B2-ref-ltaa40519-
Appartement location long terme place de nations,11 000 DH,"Centre à
							
							Tanger","300
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Climatisation|Cuisine équipée,https://www.mubawab.ma/fr/a/6716994/appartement-location-long-terme-place-de-nations
Location Appartement Meublé Quartier Espagnol / Ref: LTAAM67919,,"Centre à
							
							Tanger","120
					m²",,,,,,,|Meublé|Garage|Ascenseur|Concierge|Sécurité|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6712743/location-appartement-meubl%C3%A9-quartier-espagnol-ref-ltaam67919
Appartement en location Meublé 105 m² Ecole Américain / Réf: LTAAM68119,7 000 DH,"Centre à
							
							Tanger","105
					m²",6 Pièces,4 Chambres,1 Salle de bain,Nouveau,,,|Meublé|Ascenseur|Jardin|Concierge|Salon Marocain|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6712741/appartement-en-location-meubl%C3%A9-105-m%C2%B2-ecole-am%C3%A9ricain-r%C3%A9f-ltaam68119
Appartement à louer Tanger,9 000 DH,"Centre à
							
							Tanger","80
					m²",,,,,,,|Meublé|Garage|Piscine,https://www.mubawab.ma/fr/a/6707941/appartement-%C3%A0-louer-tanger
Location Appartement 322 m² Montagne Tanger Ref: LTAA67719,22 000 DH,"Centre à
							
							Tanger","322
					m²",8 Pièces,6 Chambres,2 Salles de bains,"322
					m²",,,|Terrasse|Garage|Piscine|Jardin|Climatisation|Cheminée|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6709510/location-appartement-322-m%C2%B2-montagne-tanger-ref-ltaa67719
Location Appartement Jbel Kebir surface 307 m² / Ref: LTAA67819,22 000 DH,"Centre à
							
							Tanger","307
					m²",6 Pièces,4 Chambres,2 Salles de bains,"307
					m²",,,|Terrasse|Garage|Piscine|Jardin|Chauffage central|Cheminée|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6709509/location-appartement-jbel-kebir-surface-307-m%C2%B2-ref-ltaa67819
Appartement a louer meuble quartier iberia surface 200m²,12 000 DH,Tanger,"200
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6708055/appartement-a-louer-meuble-quartier-iberia-surface-200m%C2%B2
Appartement à louer Tanger,4 000 DH,"Castilla à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Ascenseur,https://www.mubawab.ma/fr/a/6706850/appartement-%C3%A0-louer-tanger
Spacieux appartement vide haut standing a Louer,12 000 DH,"Iberie à
							
							Tanger",,,2 Chambres,,,,,|Terrasse|Garage,https://www.mubawab.ma/fr/a/5944320/spacieux-appartement-vide-haut-standing-a-louer
Appartement meuble avec terrasse et vue mer a louer,10 000 DH,Tanger,,,,,,,,|Terrasse|Garage|Vue sur mer|Salon Marocain,https://www.mubawab.ma/fr/a/6322273/appartement-meuble-avec-terrasse-et-vue-mer-a-louer
Appartement location meuble situation la corniche / ref: ltaam62519,8 500 DH,"De La Plage à
							
							Tanger",,,,,,,,|Meublé|Garage|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6359382/appartement-location-meuble-situation-la-corniche-ref-ltaam62519
Appartement en location tanger quartier iberia / ref: ltaa40119,8 500 DH,"Iberie à
							
							Tanger","154
					m²",5 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,|Garage|Climatisation|Chauffage central|Cuisine équipée,https://www.mubawab.ma/fr/a/6299445/appartement-en-location-tanger-quartier-iberia-ref-ltaa40119
Appartement en location vue mer / centre ville / surface 120 m² / ref: ltaam65319,7 500 DH,"Centre à
							
							Tanger","120
					m²",6 Pièces,5 Chambres,2 Salles de bains,"120
					m²",,,|Meublé|Garage|Ascenseur|Concierge|Vue sur mer|Salon européen|Climatisation|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6696181/appartement-en-location-vue-mer-centre-ville-surface-120-m%C2%B2-ref-ltaam65319
Appartement meuble en location / situation plage / ref: ltaam64419,,"Centre à
							
							Tanger","70
					m²",6 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Climatisation|Sécurité|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6663220/appartement-meuble-en-location-situation-plage-ref-ltaam64419
Appartement a tanger en location quartier iberia surface 158 m² / ref: ltaa67019,8 500 DH,"Iberie à
							
							Tanger","158
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Garage|Ascenseur|Concierge|Climatisation|Sécurité,https://www.mubawab.ma/fr/a/6703297/appartement-a-tanger-en-location-quartier-iberia-surface-158-m%C2%B2-ref-ltaa67019
Appartement en location a tanger quartier administratif 98 m² / ref: ltaa66619,6 400 DH,"Administratif à
							
							Tanger","98
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Garage|Ascenseur|Concierge|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6701608/appartement-en-location-a-tanger-quartier-administratif-98-m%C2%B2-ref-ltaa66619
Appartement a louer a tanger surface 172 m² / ref: ltaam63119,13 000 DH,"Centre à
							
							Tanger","172
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Climatisation|Antenne parabolique|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6700426/appartement-a-louer-a-tanger-surface-172-m%C2%B2-ref-ltaam63119
Appartement a louer a tanger place de nations 130 m² / ref: ltaa66919,10 000 DH,"Centre à
							
							Tanger","130
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Terrasse|Ascenseur|Concierge|Climatisation|Parquet|Cuisine équipée,https://www.mubawab.ma/fr/a/6703298/appartement-a-louer-a-tanger-place-de-nations-130-m%C2%B2-ref-ltaa66919
Appartement en location / surface 67 m² / tanger city center / ref: ltaam64619,7 500 DH,"Tanger City Center à
							
							Tanger","67
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,,|Meublé|Garage|Ascenseur|Salon européen|Climatisation|Chauffage central|Sécurité|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6663219/appartement-en-location-surface-67-m%C2%B2-tanger-city-center-ref-ltaam64619
Appartement vide à la location centre ville,8 300 DH,"Centre à
							
							Tanger","165
					m²",4 Pièces,2 Chambres,,,,,|Terrasse,https://www.mubawab.ma/fr/a/6703122/appartement-vide-%C3%A0-la-location-centre-ville
Appartement en location a tanger vue mer surface 124 m² / ref: ltaa66819,8 000 DH,"De La Plage à
							
							Tanger","124
					m²",7 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Ascenseur|Concierge|Vue sur mer|Climatisation|Cuisine équipée,https://www.mubawab.ma/fr/a/6703299/appartement-en-location-a-tanger-vue-mer-surface-124-m%C2%B2-ref-ltaa66819
Magnifique appartement en retrait,8 000 DH,"Administratif à
							
							Tanger",,,,,,,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon européen|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6237079/magnifique-appartement-en-retrait
Appartement location meuble,6 500 DH,"Centre à
							
							Tanger","93
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage|Concierge|Salon Marocain|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6259611/appartement-location-meuble
Charmant appartement meuble en location / lily,7 500 DH,"Administratif à
							
							Tanger","130
					m²",5 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6204592/charmant-appartement-meuble-en-location-lily
Magnifique location meuble,16 000 DH,Tanger,"220
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Vue sur mer|Climatisation|Chauffage central|Cuisine équipée,https://www.mubawab.ma/fr/a/6204534/magnifique-location-meuble
Location retrait long terme surface 221m² ref: ltawil,15 000 DH,"Iberie à
							
							Tanger","221
					m²",6 Pièces,4 Chambres,2 Salles de bains,Nouveau,,,|Meublé|Terrasse|Garage|Ascenseur|Vue sur mer|Salon européen|Climatisation|Cheminée|Cuisine équipée,https://www.mubawab.ma/fr/a/6204531/location-retrait-long-terme-surface-221m%C2%B2-ref-ltawil
Location appartement a tanger vue mer avec terrasse/ ref: ltaam12318,8 000 DH,"Administratif à
							
							Tanger","100
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Salon Marocain|Salon européen|Sécurité|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6258462/location-appartement-a-tanger-vue-mer-avec-terrasse-ref-ltaam12318
Location appartement meuble en retrait ref: ltaam12218,11 000 DH,"Administratif à
							
							Tanger",,,,,,,,|Meublé|Terrasse|Garage|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6258464/location-appartement-meuble-en-retrait-ref-ltaam12218
Appartement meuble 135 m² centre ville tanger ref: ltaam13018,7 500 DH,"Centre à
							
							Tanger","130
					m²",5 Pièces,4 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Climatisation|Cheminée|Cuisine équipée|Four,https://www.mubawab.ma/fr/a/6285288/appartement-meuble-135-m%C2%B2-centre-ville-tanger-ref-ltaam13018
En location spacieux appartement vide / laz,6 500 DH,Tanger,"120
					m²",5 Pièces,4 Chambres,1 Salle de bain,Bon état,,,|Garage|Climatisation|Cuisine équipée|Internet,https://www.mubawab.ma/fr/a/6204549/en-location-spacieux-appartement-vide-laz
Marshan / apt 3 chambres dans res de standing,9 000 DH,"Marchan à
							
							Tanger","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,"1er
					étage",|Garage|Ascenseur|Concierge|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur,https://www.mubawab.ma/fr/a/6703985/marshan-apt-3-chambres-dans-res-de-standing
Appartement vide en location / quartier moujahidin / ref: ltaa65219,5 500 DH,"Centre à
							
							Tanger",,,,,,,,|Ascenseur|Jardin|Concierge|Sécurité|Four,https://www.mubawab.ma/fr/a/6696182/appartement-vide-en-location-quartier-moujahidin-ref-ltaa65219
En location magnifique appartement/ surface 380 m² / situation quartier adminisratif / ref: ltaam64719,16 000 DH,"Centre à
							
							Tanger","280
					m²",8 Pièces,7 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Climatisation|Cheminée|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6663967/en-location-magnifique-appartement-surface-380-m%C2%B2-situation-quartier-adminisratif-ref-ltaam64719
Appartement meuble location / quartier administratif / ref: ltaam65619/,8 300 DH,"Administratif à
							
							Tanger",,,,,,,,|Meublé|Garage|Ascenseur|Concierge|Climatisation|Cuisine équipée,https://www.mubawab.ma/fr/a/6697860/appartement-meuble-location-quartier-administratif-ref-ltaam65619-
